Region16,Region88,Region166
frontal lobe,anterior orbital gyrus,anterior orbital gyrus
frontal lobe,frontal operculum,frontal operculum
frontal lobe,frontal pole,frontal pole
frontal lobe,gyrus rectus,gyrus rectus
frontal lobe,inferior frontal gyrus,"inferior frontal gyrus, opercular part"
frontal lobe,inferior frontal gyrus,"inferior frontal gyrus, orbital part"
frontal lobe,inferior frontal gyrus,"inferior frontal gyrus, triangular part"
frontal lobe,inferior rostral gyrus,inferior rostral gyrus
frontal lobe,lateral orbital gyrus,lateral orbital gyrus
frontal lobe,medial orbital gyrus,medial orbital gyrus
frontal lobe,middle frontal gyrus,middle frontal gyrus
frontal lobe,"paracentral lobule, anterior part","paracentral lobule, anterior part"
frontal lobe,paraterminal gyrus,paraterminal gyrus
frontal lobe,parolfactory gyri,parolfactory gyri
frontal lobe,posterior orbital gyrus,posterior orbital gyrus
frontal lobe,precentral gyrus,precentral gyrus
frontal lobe,superior frontal gyrus,superior frontal gyrus
frontal lobe,superior rostral gyrus,superior rostral gyrus
insula,insula,long insular gyri
insula,insula,short insular gyri
limbic lobe,cingulate gyrus,"cingulate gyrus, frontal part"
limbic lobe,cingulate gyrus,"cingulate gyrus, parietal part"
limbic lobe,cingulate gyrus,"cingulate gyrus, retrosplenial part"
limbic lobe,cingulate gyrus,subcallosal cingulate gyrus
limbic lobe,dentate gyrus,dentate gyrus
limbic lobe,CA1 field,CA1 field
limbic lobe,CA2 field,CA2 field
limbic lobe,CA3 field,CA3 field
limbic lobe,CA4 field,CA4 field
limbic lobe,subiculum,subiculum
limbic lobe,parahippocampal gyrus,parahippocampal gyrus
limbic lobe,piriform cortex,piriform cortex
occipital lobe,cuneus,cuneus
occipital lobe,inferior occipital gyrus,inferior occipital gyrus
occipital lobe,lingual gyrus,lingual gyrus
occipital lobe,occipital pole,occipital pole
occipital lobe,occipito-temporal gyrus,occipito-temporal gyrus
occipital lobe,superior occipital gyrus,superior occipital gyrus
parietal lobe,inferior parietal lobule,angular gyrus
parietal lobe,inferior parietal lobule,supramarginal gyrus
parietal lobe,"paracentral lobule, posterior part","paracentral lobule, posterior part"
parietal lobe,postcentral gyrus,postcentral gyrus
parietal lobe,precuneus,precuneus
parietal lobe,superior parietal lobule,superior parietal lobule
temporal lobe,fusiform gyrus,fusiform gyrus
temporal lobe,Heschl's gyrus,Heschl's gyrus
temporal lobe,inferior temporal gyrus,inferior temporal gyrus
temporal lobe,middle temporal gyrus,middle temporal gyrus
temporal lobe,planum polare,planum polare
temporal lobe,planum temporale,planum temporale
temporal lobe,superior temporal gyrus,superior temporal gyrus
temporal lobe,temporal pole,temporal pole
temporal lobe,transverse gyri,transverse gyri
