Mouse,Human
Claustrum,claustrum
Piriform area,piriform cortex
Subiculum,subiculum
Field CA1,CA1 field
Field CA2,CA2 field
Field CA3,CA3 field
Dentate gyrus,dentate gyrus
Anterior cingulate area,cingulate gyrus
Primary auditory area,Heschl's gyrus
Primary motor area,precentral gyrus
Primary somatosensory area,postcentral gyrus
Visual areas,cuneus
Pallidum,globus pallidus
Striatum ventral region,nucleus accumbens
Caudoputamen,caudate nucleus
Cortical subplate-other,amygdala
Inferior colliculus,inferior colliculus
"Superior colliculus, sensory related",superior colliculus
Medulla,myelencephalon
Pons,pons
Hypothalamus,hypothalamus
Thalamus,thalamus
Lingula (I),vermal I-II
Declive (VI),vermal VI
Folium-tuber vermis (VII),vermal VIIAf
Pyramus (VIII),vermal VIIIA
Uvula (IX),vermal IX
Nodulus (X),vermal X
Simple lobule,VI
Crus 1,crus I
Crus 2,crus II
Paramedian lobule,VIIB
Copula pyramidis,VIIIA
Flocculus,X
Paraflocculus,IX
Cerebellar nuclei,cerebellar nuclei
