,experiment_id,section_thickness,specimen_id,plane,gene,gene_name,chromosome_id,entrez_id,genomic_reference_update_id,homologene_id,organism_id
0,112646890,25,710945,coronal,Nr2f2,"nuclear receptor subfamily 2, group F, member 2",52.0,11819.0,491928275.0,7628.0,2
1,71836747,25,71035669,coronal,Tbc1d8,"TBC1 domain family, member 8",34.0,54610.0,491928275.0,31421.0,2
2,71717451,25,71019378,coronal,Kcng3,"potassium voltage-gated channel, subfamily G, member 3",43.0,225030.0,491928275.0,15168.0,2
3,2480,25,702794,coronal,Phox2b,paired-like homeobox 2b,50.0,18935.0,491928275.0,68371.0,2
4,73929578,25,71903222,coronal,Thbs2,thrombospondin 2,43.0,21826.0,491928275.0,2438.0,2
5,2107,25,702831,coronal,Cldn12,claudin 12,50.0,64945.0,491928275.0,40809.0,2
6,71836810,25,71035725,coronal,Acsl6,acyl-CoA synthetase long-chain family member 6,36.0,216739.0,491928275.0,100939.0,2
7,2493,25,702795,coronal,Pomc,pro-opiomelanocortin-alpha,37.0,18976.0,491928275.0,723.0,2
8,1510,25,702587,coronal,Mtf2,metal response element binding transcription factor 2,50.0,17765.0,491928275.0,7207.0,2
9,112646675,25,710947,coronal,Oprd1,"opioid receptor, delta 1",49.0,18386.0,491928275.0,20252.0,2
10,1391,25,702578,coronal,Syncrip,"synaptotagmin binding, cytoplasmic RNA interacting protein",54.0,56403.0,491928275.0,4648.0,2
11,7,25,702605,coronal,Gtf3c2,"general transcription factor IIIC, polypeptide 2, beta",50.0,71752.0,491928275.0,37490.0,2
12,2442,25,702795,coronal,Nudc,nuclear distribution gene C homolog (Aspergillus),49.0,18221.0,491928275.0,4812.0,2
13,404,25,702612,coronal,Eps8l3,EPS8-like 3,48.0,99662.0,491928275.0,15878.0,2
14,1301,25,702802,coronal,Top2a,topoisomerase (DNA) II alpha,36.0,21973.0,491928275.0,830.0,2
15,1484,25,702803,coronal,Dmbx1,diencephalon/mesencephalon homeobox 1,49.0,140477.0,491928275.0,15639.0,2
16,121099,25,46761,coronal,Pgf,placental growth factor,37.0,18654.0,491928275.0,1978.0,2
17,1804,25,702806,coronal,Pde1c,phosphodiesterase 1C,51.0,18575.0,491928275.0,3682.0,2
