experiment_id,section_thickness,specimen_id,plane,gene,gene_name,chromosome_id,entrez_id,genomic_reference_update_id,homologene_id,organism_id
375,25,710147,sagittal,Ebf1,early B cell factor 1,36.0,13591.0,491928275.0,7297.0,2
386,25,710148,sagittal,Efnb1,ephrin B1,57.0,13641.0,491928275.0,3263.0,2
81600550,25,6510,sagittal,Tmem30a,transmembrane protein 30A,54.0,69981.0,491928275.0,110703.0,2
68269598,25,67501035,sagittal,Csrp1,cysteine and glycine-rich protein 1,34.0,13007.0,491928275.0,37874.0,2
68844361,25,68151384,sagittal,Slc4a1ap,"solute carrier family 4 (anion exchanger), member 1, adaptor protein",50.0,20534.0,491928275.0,7543.0,2
564,25,710139,sagittal,Hist1h2bc,"histone cluster 1, H2bc",39.0,68024.0,491928275.0,130120.0,2
100144858,25,710889,sagittal,1700101E01Rik,RIKEN cDNA 1700101E01 gene,47.0,329375.0,491928275.0,45813.0,2
68203460,25,645615,sagittal,Zfp46,zinc finger protein 46,49.0,22704.0,491928275.0,40684.0,2
67979033,25,67963891,sagittal,Arf6,ADP-ribosylation factor 6,37.0,11845.0,491928275.0,1256.0,2
75990519,25,75428050,sagittal,Zfp647,zinc finger protein 647,41.0,239546.0,491928275.0,27805.0,2
71763900,25,70971168,sagittal,Med22,mediator complex subunit 22,47.0,20933.0,491928275.0,4913.0,2
100145378,25,713095,sagittal,Oprk1,"opioid receptor, kappa 1",34.0,18387.0,491928275.0,20253.0,2
695,25,710140,sagittal,Negr1,neuronal growth regulator 1,48.0,320840.0,491928275.0,41447.0,2
69782640,25,69354843,sagittal,Pabpc5,"poly(A) binding protein, cytoplasmic 5",57.0,93728.0,491928275.0,5857.0,2
71809286,25,71019503,sagittal,Dock6,dedicator of cytokinesis 6,54.0,319899.0,491928275.0,83291.0,2
71808729,25,71019448,sagittal,Map3k14,mitogen-activated protein kinase kinase kinase 14,36.0,53859.0,491928275.0,2940.0,2
69783316,25,69371123,sagittal,Prl7d1,"prolactin family 7, subfamily d, member 1",39.0,18814.0,491928275.0,7894.0,2
81600160,25,6510,sagittal,Kirrel3os,"kin of IRRE like 3 (Drosophila), opposite strand",54.0,442804.0,491928275.0,,2
71809385,25,71035673,sagittal,Megf11,multiple EGF-like-domains 11,54.0,214058.0,491928275.0,13031.0,2
71809346,25,71035673,sagittal,Samd12,sterile alpha motif domain containing 12,41.0,320679.0,491928275.0,35979.0,2
69783089,25,69371123,sagittal,Phip,pleckstrin homology domain interacting protein,54.0,83946.0,491928275.0,41209.0,2
68203496,25,653537,sagittal,Brox,BRO1 domain and CAAX motif containing,34.0,71678.0,491928275.0,13499.0,2
100145312,25,713078,sagittal,Dgkk,diacylglycerol kinase kappa,57.0,331374.0,491928275.0,45867.0,2
71809259,25,71019503,sagittal,Ppm1h,protein phosphatase 1H (PP2C domain containing),35.0,319468.0,491928275.0,18537.0,2
